palabra,freq,diario,por_noticia
mujer,144,perfil,0.20339
acuerdo,164,ambito,0.20322
Graciela,14,diariodeleuco,0.2029
Lázaro Báez,14,diariodeleuco,0.2029
jefe,14,diariodeleuco,0.2029
pago,77,eldestape,0.20263
documento,77,eldestape,0.20263
lugar,271,clarin,0.20179
red,204,todonoticias,0.20178
Argentina,151,paginadoce,0.20053
campaña,76,eldestape,0.2
causa,76,eldestape,0.2
denuncia,76,eldestape,0.2
juez,266,clarin,0.19806
partido,266,clarin,0.19806
presidente,200,todonoticias,0.19782
casa,264,clarin,0.19657
proyecto,158,ambito,0.19579
juez,147,paginadoce,0.19522
obra,74,eldestape,0.19474
obra,123,telam,0.19431
Salud,146,paginadoce,0.19389
club,137,perfil,0.1935
viento,899,lanacion,0.19275
medida,73,eldestape,0.19211
precio,136,perfil,0.19209
precio,155,ambito,0.19207
presidente,2427,infobae,0.1918
Leña,2410,infobae,0.19045
medida,120,telam,0.18957
mercado,254,clarin,0.18913
fecha,1815,popular,0.18879
pandemia,142,paginadoce,0.18858
denuncia,13,diariodeleuco,0.18841
canal,13,diariodeleuco,0.18841
funcionario,13,diariodeleuco,0.18841
crisis,13,diariodeleuco,0.18841
delito,13,diariodeleuco,0.18841
justicia,13,diariodeleuco,0.18841
enero,13,diariodeleuco,0.18841
semana,152,ambito,0.18835
Ministerio,249,clarin,0.18541
Alberto,862,lanacion,0.18482
entrenador,1776,popular,0.18473
jugador,248,clarin,0.18466
ministro,149,ambito,0.18463
momento,70,eldestape,0.18421
salud,186,todonoticias,0.18398
mes,116,telam,0.18325
familia,185,todonoticias,0.18299
actor,184,todonoticias,0.182
marzo,69,eldestape,0.18158
provincia,243,clarin,0.18094
sector,114,telam,0.18009
lugar,135,paginadoce,0.17928
partido,135,paginadoce,0.17928
medio,68,eldestape,0.17895
dosis,144,ambito,0.17844
peso,1715,popular,0.17839
ministro,180,todonoticias,0.17804
gobierno,830,lanacion,0.17796
gol,179,todonoticias,0.17705
club,112,telam,0.17694
provincia,177,todonoticias,0.17507
dólar,176,todonoticias,0.17409
Buenos Aires,12,diariodeleuco,0.17391
programación,12,diariodeleuco,0.17391
K,12,diariodeleuco,0.17391
provincia,12,diariodeleuco,0.17391
cosa,12,diariodeleuco,0.17391
trabajador,66,eldestape,0.17368
escándalo,175,todonoticias,0.1731
obra,137,ambito,0.16976
salud,64,eldestape,0.16842
coronavirus,64,eldestape,0.16842
Américo Vespucio,2130,infobae,0.16833
dólar,119,perfil,0.16808
acuerdo,125,paginadoce,0.166
Buenos Aires,105,telam,0.16588
obra,222,clarin,0.1653
Carrera,1588,popular,0.16518
mts,1588,popular,0.16518
club,165,todonoticias,0.1632
cansancio,758,lanacion,0.16252
fiscal,121,paginadoce,0.16069
encuentro,101,telam,0.15956
vacunados,11,diariodeleuco,0.15942
México,11,diariodeleuco,0.15942
LN,11,diariodeleuco,0.15942
salud,11,diariodeleuco,0.15942
situación,11,diariodeleuco,0.15942
causa,11,diariodeleuco,0.15942
verdad,11,diariodeleuco,0.15942
Cristina Kirchner,11,diariodeleuco,0.15942
cargo,11,diariodeleuco,0.15942
familia,11,diariodeleuco,0.15942
escándalo,214,clarin,0.15934
semana,214,clarin,0.15934
fiscal,213,clarin,0.1586
carrera,1524,popular,0.15852
fiscal,100,telam,0.15798
mujer,100,telam,0.15798
escuela,60,eldestape,0.15789
premio,1515,popular,0.15758
apuesta,1512,popular,0.15727
TERCERO,1512,popular,0.15727
marzo,99,telam,0.1564
punto,1503,popular,0.15633
salud,117,paginadoce,0.15538
velocidad,718,lanacion,0.15395
ley,124,ambito,0.15366
vacunatorio,155,todonoticias,0.15331
kilómetro,714,lanacion,0.15309
mes,108,perfil,0.15254
semana,154,todonoticias,0.15232
personal,154,todonoticias,0.15232
marzo,122,ambito,0.15118
vacunatorio,704,lanacion,0.15094
pozo,1448,popular,0.15061
funcionario,201,clarin,0.14966
domingo,1436,popular,0.14937
Argentina,151,todonoticias,0.14936
clima,693,lanacion,0.14858
reunión,94,telam,0.1485
Estados,105,perfil,0.14831
hombre,149,todonoticias,0.14738
lugar,149,todonoticias,0.14738
Ministerio,149,todonoticias,0.14738
grado,686,lanacion,0.14708
gente,104,perfil,0.14689
victoria,1412,popular,0.14687
febrero,148,todonoticias,0.14639
Eduardo Feinmann,681,lanacion,0.14601
abogado,10,diariodeleuco,0.14493
payasada,10,diariodeleuco,0.14493
lista,10,diariodeleuco,0.14493
víctima,10,diariodeleuco,0.14493
personal,10,diariodeleuco,0.14493
trabajador,10,diariodeleuco,0.14493
argentinos,10,diariodeleuco,0.14493
Alberto,10,diariodeleuco,0.14493
Ciudad,109,paginadoce,0.14475
escuela,109,paginadoce,0.14475
lluvia,675,lanacion,0.14473
Anillo A Vespucio,1825,infobae,0.14422
economía,102,perfil,0.14407
lunes,91,telam,0.14376
Buenos Aires,108,paginadoce,0.14343
peso,108,paginadoce,0.14343
cielo,667,lanacion,0.14301
Lorenzo,1368,popular,0.14229
salud,191,clarin,0.14222
violencia,90,telam,0.14218
funcionario,54,eldestape,0.14211
docente,54,eldestape,0.14211
película,107,paginadoce,0.1421
yegua,1360,popular,0.14146
encuentro,1358,popular,0.14125
derecho,89,telam,0.1406
clase,89,telam,0.1406
proyecto,89,telam,0.1406
plan,53,eldestape,0.13947
pelo,53,eldestape,0.13947
sector,105,paginadoce,0.13944
coronavirus,187,clarin,0.13924
moda,140,todonoticias,0.13848
Buenos Aires,140,todonoticias,0.13848
Hebe,644,lanacion,0.13808
personal,185,clarin,0.13775
causa,185,clarin,0.13775
Ciudad,185,clarin,0.13775
dosis,1742,infobae,0.13766
jugador,1323,popular,0.13761
Ciudad,111,ambito,0.13755
padre,139,todonoticias,0.13749
Ciudad,87,telam,0.13744
pandemia,97,perfil,0.13701
inflación,52,eldestape,0.13684
funcionario,138,todonoticias,0.1365
Salud,96,perfil,0.13559
futbol,96,perfil,0.13559
Boca,137,todonoticias,0.13551
historia,181,clarin,0.13477
economía,51,eldestape,0.13421
diciembre,51,eldestape,0.13421
precio,101,paginadoce,0.13413
dni,101,paginadoce,0.13413
Salud,108,ambito,0.13383
pago,108,ambito,0.13383
febrero,84,telam,0.1327
marzo,178,clarin,0.13254
ASEGURADO,1264,popular,0.13147
acuerdo,93,perfil,0.13136
coronavirus,1655,infobae,0.13079
Fernández,9,diariodeleuco,0.13043
gabinete,9,diariodeleuco,0.13043
Guzmán,9,diariodeleuco,0.13043
Néstor Kirchner,9,diariodeleuco,0.13043
semana,9,diariodeleuco,0.13043
castas,9,diariodeleuco,0.13043
Ginés González García,9,diariodeleuco,0.13043
obra,98,paginadoce,0.13015
FMI,105,ambito,0.13011
lugar,92,perfil,0.12994
manera,92,perfil,0.12994
ciudad,82,telam,0.12954
empresario,49,eldestape,0.12895
fiscal,49,eldestape,0.12895
precio,173,clarin,0.12882
actor,173,clarin,0.12882
modelo,130,todonoticias,0.12859
política,91,perfil,0.12853
deuda,103,ambito,0.12763
México,171,clarin,0.12733
jugador,90,perfil,0.12712
economía,102,ambito,0.12639
escuela,80,telam,0.12638
mujer,48,eldestape,0.12632
febrero,48,eldestape,0.12632
vacuna,1203,popular,0.12513
club,168,clarin,0.12509
género,79,telam,0.1248
producción,79,telam,0.1248
Huracán,1199,popular,0.12471
semana,88,perfil,0.12429
inflación,88,perfil,0.12429
cosa,88,perfil,0.12429
periodista,47,eldestape,0.12368
Macri,47,eldestape,0.12368
River,47,eldestape,0.12368
lugar,47,eldestape,0.12368
investigación,93,paginadoce,0.12351
noche,576,lanacion,0.1235
Bonafini,572,lanacion,0.12264
hermano,123,todonoticias,0.12166
pandemia,123,todonoticias,0.12166
ley,46,eldestape,0.12105
this,122,todonoticias,0.12067
set,1154,popular,0.12003
US,161,clarin,0.11988
medio,121,todonoticias,0.11968
punto,90,paginadoce,0.11952
Boca,1147,popular,0.11931
hombre,160,clarin,0.11914
sistema,160,clarin,0.11914
post,120,todonoticias,0.11869
jugador,120,todonoticias,0.11869
víctima,120,todonoticias,0.11869
Motos,1500,infobae,0.11854
Prohibición,1500,infobae,0.11854
partido,45,eldestape,0.11842
familia,89,paginadoce,0.11819
bono,95,ambito,0.11772
demanda,95,ambito,0.11772
partido,95,ambito,0.11772
canción,119,todonoticias,0.11771
River,119,todonoticias,0.11771
febrero,158,clarin,0.11765
euro,1485,infobae,0.11735
familia,83,perfil,0.11723
jueves,74,telam,0.1169
docente,88,paginadoce,0.11687
inflación,94,ambito,0.11648
Nación,8,diariodeleuco,0.11594
TOF,8,diariodeleuco,0.11594
Alfredo Leuco,8,diariodeleuco,0.11594
información,8,diariodeleuco,0.11594
señal,8,diariodeleuco,0.11594
evasión,8,diariodeleuco,0.11594
lugar,8,diariodeleuco,0.11594
familiar,8,diariodeleuco,0.11594
submarino,8,diariodeleuco,0.11594
actor,8,diariodeleuco,0.11594
Diego,8,diariodeleuco,0.11594
opinión,8,diariodeleuco,0.11594
obra,8,diariodeleuco,0.11594
sociedad,8,diariodeleuco,0.11594
suegro,8,diariodeleuco,0.11594
gobernador,44,eldestape,0.11579
política,44,eldestape,0.11579
respecto,44,eldestape,0.11579
dirigente,44,eldestape,0.11579
diciembre,93,ambito,0.11524
amigo,116,todonoticias,0.11474
marzo,81,perfil,0.11441
poder,81,perfil,0.11441
cine,86,paginadoce,0.11421
mensaje,115,todonoticias,0.11375
precio,72,telam,0.11374
domingo,72,telam,0.11374
presidente,529,lanacion,0.11342
River,80,perfil,0.11299
causa,71,telam,0.11216
futbol,113,todonoticias,0.11177
provincia,79,perfil,0.11158
programa,79,perfil,0.11158
vuelo,79,perfil,0.11158
historia,42,eldestape,0.11053
jugador,42,eldestape,0.11053
área,1060,popular,0.11026
ley,83,paginadoce,0.11023
violencia,83,paginadoce,0.11023
Alberto Fernández,111,todonoticias,0.10979
video,111,todonoticias,0.10979
valor,147,clarin,0.10946
pandemia,88,ambito,0.10905
docente,69,telam,0.109
futbol,69,telam,0.109
color,110,todonoticias,0.1088
Boca,77,perfil,0.10876
causa,77,perfil,0.10876
producto,77,perfil,0.10876
club,41,eldestape,0.10789
Consejo,41,eldestape,0.10789
derecho,41,eldestape,0.10789
nivel,87,ambito,0.10781
Ciudad,109,todonoticias,0.10781
artista,109,todonoticias,0.10781
look,109,todonoticias,0.10781
libro,81,paginadoce,0.10757
provincia,1032,popular,0.10734
educación,1032,popular,0.10734
View,108,todonoticias,0.10682
familia,143,clarin,0.10648
trabajador,80,paginadoce,0.10624
momento,80,paginadoce,0.10624
causa,80,paginadoce,0.10624
Estados,67,telam,0.10585
víctima,67,telam,0.10585
historia,107,todonoticias,0.10584
padre,142,clarin,0.10573
información,40,eldestape,0.10526
punto,40,eldestape,0.10526
